issue,project,url,estimate,closed,labels,milestone
As a user I want to see a list of current projects so I can learn more about the work of CDH.,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/20,2.0,2017-08-31 19:17:36+00:00,,CDH Web 2.0
"As a user, I want to view and download files associated with pages on the site so that I can access other materials related to the content.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/18,1.0,2017-09-21 20:37:35+00:00,,CDH Web 2.0
As a user I want to view upcoming events and highlighted projects on the homepage so I can get a sense of the CDH and its activities.,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/17,2.0,2017-09-21 21:34:57+00:00,,CDH Web 2.0
"As a user, I want to navigate using the header or footer menus, so that I can find the content I'm looking for.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/16,2.0,2017-09-21 21:52:45+00:00,,CDH Web 2.0
"As a user, I want to view content pages so that I can read materials that interest me.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/15,1.0,2017-09-21 21:24:28+00:00,,CDH Web 2.0
"As a content editor, I want to create and edit events so that I can publicize workshops, lectures, or other events.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/14,1.0,2017-08-31 18:00:28+00:00,,CDH Web 2.0
"As an admin, I want to create and edit staff profiles so I can publish information about staff research and roles.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/13,2.0,2017-09-21 21:11:56+00:00,,CDH Web 2.0
"As an admin user, I want to create and edit project pages so that I can publish information about sponsored projects.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/12,1.0,2017-08-30 20:54:12+00:00,,CDH Web 2.0
"As a content editor, I want to associate one or more authors with a blog post so that I can document everyone who contributed to the content.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/11,1.0,2017-09-12 23:49:13+00:00,,CDH Web 2.0
"As an admin, I want to upload files and media and associate them with other content so that I can share files and other non-web content with users.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/10,2.0,2017-09-21 20:39:51+00:00,,CDH Web 2.0
"As a content editor, I want to associate an author other than myself with a blog post so that I can indicate who wrote the content.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/9,0.0,2017-09-12 23:46:54+00:00,,CDH Web 2.0
"As a content editor, I want to create and edit blog posts so that I can share updates about CDH and its work.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/8,2.0,2017-09-12 23:42:15+00:00,,CDH Web 2.0
Blog functionality,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/7,,2017-08-15 22:30:30+00:00,,
"As an admin, I want to manage links in the footer so I can update site navigation when content changes.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/6,2.0,2017-09-22 19:30:39+00:00,,CDH Web 2.0
"As an admin, I want to manage links in the header so that I can update navigation when the site changes.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/5,2.0,2017-08-30 21:02:51+00:00,,CDH Web 2.0
"As an admin, I want to create and manage landing pages and other content pages so that I can publish top-level and other content pages.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/4,1.0,2017-08-30 20:23:53+00:00,,CDH Web 2.0
MVP Functonality,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/3,,2017-08-15 22:30:41+00:00,,
"As an admin, I want an import of content from the previous version of the site so that all the information available on the old site is migrated to the new version.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/2,5.0,2017-09-22 19:31:35+00:00,,CDH Web 2.0
Admin: CAS User login,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/1,0.0,2017-08-14 16:06:03+00:00,,
Add indexing signal handlers for subject and language on Book,winthrop-django,https://api.github.com/repos/Princeton-CDH/winthrop-django/issues/111,,2018-08-16 17:06:21+00:00,chore,
Template: site search,winthrop-django,https://api.github.com/repos/Princeton-CDH/winthrop-django/issues/97,2.0,2018-08-24 17:46:28+00:00,,
Template: book list view single result,winthrop-django,https://api.github.com/repos/Princeton-CDH/winthrop-django/issues/94,1.0,2018-08-23 20:15:27+00:00,,Book search and browse
Template: books list,winthrop-django,https://api.github.com/repos/Princeton-CDH/winthrop-django/issues/92,1.0,2018-08-27 14:07:58+00:00,,Book search and browse
Setup compressor,winthrop-django,https://api.github.com/repos/Princeton-CDH/winthrop-django/issues/88,,2018-07-06 20:33:35+00:00,,
Template: navigation,winthrop-django,https://api.github.com/repos/Princeton-CDH/winthrop-django/issues/87,2.0,2018-08-24 17:49:19+00:00,,Book search and browse
Template: header and footer,winthrop-django,https://api.github.com/repos/Princeton-CDH/winthrop-django/issues/86,1.0,2018-08-24 17:34:01+00:00,,Book search and browse
migrate manifest and canvas URIs from plum to figgy,winthrop-django,https://api.github.com/repos/Princeton-CDH/winthrop-django/issues/82,,2018-08-16 16:51:16+00:00,chore,Book search and browse
"As a user, I want to filter the list of books by editor so that I can narrow the list based on editors I'm interested in.",winthrop-django,https://api.github.com/repos/Princeton-CDH/winthrop-django/issues/78,1.0,2018-09-30 18:48:55+00:00,,Book search and browse
